First Name,Last Name,Specialty
George,Jackson,Psychiatrist
Linda,Garcia,Orthopedist
Nancy,Anderson,Pediatrician
Laura,Jones,General Physician
James,Martinez,General Physician
George,Martinez,Orthopedist
Linda,Miller,Psychiatrist
Christopher,Harris,Dermatologist
Laura,Wilson,Dermatologist
Paul,Martinez,ENT Specialist
Emily,Anderson,General Physician
Thomas,Anderson,Orthopedist
James,Thompson,Gastroenterologist
Robert,Taylor,Orthopedist
Michael,Jackson,Cardiologist
Daniel,Brown,Gastroenterologist
Joseph,Johnson,Pediatrician
Robert,Anderson,Psychiatrist
Linda,Williams,Psychiatrist
Nancy,Miller,General Physician
William,Martinez,Psychiatrist
Michael,Anderson,Dermatologist
Nancy,Williams,ENT Specialist
Christopher,Martinez,Pediatrician
Daniel,Robinson,Dermatologist
John,Robinson,Neurologist
David,Garcia,Ophthalmologist
Emily,Brown,Psychiatrist
Daniel,Wilson,Gastroenterologist
Thomas,Jones,ENT Specialist
Thomas,Williams,ENT Specialist
George,Jones,Cardiologist
David,Robinson,Orthopedist
William,Thompson,ENT Specialist
William,Harris,General Physician
David,Jones,Gastroenterologist
Linda,Garcia,Cardiologist
Jennifer,Johnson,General Physician
Sarah,Robinson,ENT Specialist
Paul,Harris,General Physician
Emily,Anderson,Gastroenterologist
Robert,Taylor,Pediatrician
Christopher,Thomas,Ophthalmologist
Emily,Smith,General Physician
Barbara,Taylor,Psychiatrist
John,White,Neurologist
Thomas,Robinson,Psychiatrist
David,Garcia,Psychiatrist
George,Thompson,Orthopedist
Laura,Wilson,Dermatologist
Christopher,Robinson,Neurologist
William,Harris,Dermatologist
Laura,Taylor,ENT Specialist
Christopher,Wilson,ENT Specialist
Daniel,Taylor,Dermatologist
Karen,Moore,ENT Specialist
Robert,Smith,Orthopedist
James,Wilson,Dermatologist
John,Miller,Pediatrician
Laura,Martinez,Orthopedist
John,Jackson,Orthopedist
John,Williams,Ophthalmologist
Nancy,Anderson,General Physician
Barbara,Harris,Neurologist
Barbara,Thompson,Neurologist
Joseph,Thomas,Psychiatrist
Barbara,Robinson,Pediatrician
Jennifer,Taylor,Dermatologist
Emily,Thompson,Ophthalmologist
Joseph,Jackson,Ophthalmologist
Thomas,Davis,Orthopedist
Michael,Jackson,Gastroenterologist
Daniel,Williams,Pediatrician
George,Smith,Pediatrician
David,Davis,Gastroenterologist
Daniel,Thomas,Pediatrician
George,White,Ophthalmologist
Nancy,White,Psychiatrist
Paul,Brown,Ophthalmologist
Karen,Brown,Cardiologist
John,White,Gastroenterologist
Daniel,Miller,Gastroenterologist
Paul,Wilson,Gastroenterologist
Robert,Williams,Psychiatrist
Paul,Jackson,Orthopedist
Daniel,Garcia,General Physician
Karen,Davis,ENT Specialist
Karen,Williams,Dermatologist
Thomas,Miller,Pediatrician
David,Brown,Pediatrician
Michael,White,Ophthalmologist
Karen,Garcia,Cardiologist
Karen,Wilson,Gastroenterologist
Jennifer,Brown,Ophthalmologist
Emily,Robinson,General Physician
Linda,White,Gastroenterologist
Karen,Martinez,Pediatrician
George,Smith,Cardiologist
Barbara,Martin,Dermatologist
Linda,Johnson,Cardiologist
